Word,Pronounce
abroad,[əˈbrɔːd]
accommodation,[əˌkɒm.əˈdeɪ.ʃən]
aisle,[aɪl]
beforehand,[bɪˈfɔː.hænd]
belonging,[bɪˈlɒŋ.ɪŋ]
border,[ˈbɔː.dər]
boundary,[ˈbaʊn.dər.i]
bypass,[ˈbaɪ.pɑːs]
climate,[ˈklaɪ.mət]
congestion,[kənˈdʒes.tʃən]
custom,[ˈkʌs.təm]
delay,[dɪˈleɪ]
departure,[dɪˈpɑː.tʃər]
destination,[ˌdes.tɪˈneɪ.ʃən]
embark,[ɪmˈbɑːk]
expectation,[ˌek.spekˈteɪ.ʃən]
frequent,[ˈfriː.kwənt]
frontier,[ˈfrʌn.tɪər]
global,[ˈɡləʊ.bəl]
humid,[ˈhjuː.mɪd]
leisure,[ˈleʒ.ər]
luggage,[ˈlʌɡ.ɪdʒ]
nationality,[ˌnæʃ.ənˈæl.ə.ti]
outward,[ˈaʊt.wəd]
overhead,[ˈəʊ.və.hed]
overseas,[ˌəʊ.vəˈsiːz]
passage,[ˈpæs.ɪdʒ]
porter,[ˈpɔː.tər]
postpone,[pəʊstˈpəʊn]
preparation,[ˌprep.ərˈeɪ.ʃən]
priority,[praɪˈɒr.ə.ti]
reservation,[ˌrez.əˈveɪ.ʃən]
route,[ruːt]
vehicle,[ˈvɪə.kəl]
via,[ˈvaɪə]
windshield,[ˈwɪnd.ʃiːld]
ancient,[ˈeɪn.ʃənt]
astray,[əˈstreɪ]
avalanche,[ˈæv.əl.ɑːntʃ]
barn,[bɑːn]
blizzard,[ˈblɪz.əd]
breathtaking,[ˈbreθˌteɪ.kɪŋ]
canal,[kəˈnæl]
canyon,[ˈkæn.jən]
cliff,[klɪf]
cub,[kʌb]
dawn,[dɔːn]
desert,[ˈdez.ət]
distant,[ˈdɪs.tənt]
drizzle,[ˈdrɪz.əl]
drought,[draʊt]
explore,[ɪkˈsplɔːr]
fleet,[fliːt]
folk,[fəʊk]
fortress,[ˈfɔː.trəs]
glacier,[ˈɡlæs.i.ər]
gulf,[ɡʌlf]
horizon,[həˈraɪ.zən]
iceberg,[ˈaɪs.bɜːɡ]
journey,[ˈdʒɜː.ni]
landmark,[ˈlænd.mɑːk]
landscape,[ˈlænd.skeɪp]
landslide,[ˈlænd.slaɪd]
masterpiece,[ˈmɑː.stə.piːs]
meadow,[ˈmed.əʊ]
monument,[ˈmɒn.jə.mənt]
mummy,[ˈmʌm.i]
nomad,[ˈnəʊ.mæd]
peculiar,[pɪˈkjuː.li.ər]
pillar,[ˈpɪl.ər]
proceed,[prəˈsiːd]
raft,[rɑːft]
ruin,[ˈruː.ɪn]
rural,[ˈrʊə.rəl]
scenery,[ˈsiː.nər.i]
shrine,[ʃraɪn]
sleet,[sliːt]
surf,[sɜːf]
terrain,[təˈreɪn]
torrent,[ˈtɒr.ənt]
twilight,[ˈtwaɪ.laɪt]
typhoon,[taɪˈfuːn]
vegetation,[ˌvedʒ.ɪˈteɪ.ʃən]
view,[vjuː]
aboard,[əˈbɔːd]
access,[ˈæk.ses]
